event_date,total_sessions,conversions,total_revenue,conversion_rate
2020-11-01,2603,13,430.34000000000003,0.004994237418363427
2020-11-02,3689,40,3393.26,0.010843046896177827
2020-11-03,5300,46,1971.6399999999999,0.008679245283018867
2020-11-04,4301,30,1432.33,0.006975122064636131
2020-11-06,3282,48,2724.63,0.014625228519195612
2020-11-07,2256,28,1682.09,0.012411347517730497
2020-11-08,2146,31,2495.54,0.014445479962721343
2020-11-09,3243,42,1660.56,0.012950971322849213
2020-11-12,3670,51,2325.9,0.013896457765667575
2020-11-13,3314,69,2916.93,0.020820760410380206
2020-11-14,2340,29,1714.98,0.012393162393162393
2020-11-15,2199,21,1179.24,0.009549795361527967
2020-11-16,3508,69,3938.69,0.01966932725199544
2020-11-18,4100,50,2698.2,0.012195121951219513
2020-11-21,3162,35,3170.88,0.011068943706514863
2020-11-22,2657,29,2401.62,0.010914565299209636
2020-11-27,1808,0,0.0,0.0
2020-11-29,3214,49,2562.12,0.015245799626633479
2020-12-02,4775,75,4038.87,0.015706806282722512
2020-12-05,3475,77,3773.12,0.022158273381294964
2020-12-06,3311,40,1645.26,0.012080942313500454
2020-12-08,7548,111,6020.59,0.014705882352941176
2020-12-10,5882,129,6459.54,0.021931315878952737
2020-12-13,3686,63,3050.29,0.01709169831795985
2020-12-16,5501,117,8624.46,0.02126886020723505
2020-12-20,3265,19,1061.67,0.005819295558958652
2020-12-21,3971,48,2466.5,0.012087635356333417
2020-12-22,3811,57,2275.0499999999997,0.014956704277092626
2020-12-24,2777,22,624.88,0.00792221822110191
2020-12-25,2629,17,338.81,0.006466337010270064
2020-12-26,2654,16,402.18,0.006028636021100226
2020-12-27,2659,20,716.4000000000001,0.00752162467092892
2020-12-28,3338,32,1783.1299999999999,0.009586578789694428
2020-12-29,3407,22,637.0799999999999,0.006457293806868212
2020-12-30,3190,21,463.7,0.0065830721003134795
2020-12-31,2596,22,2233.92,0.00847457627118644
2021-01-01,2296,12,810.65,0.005226480836236934
2021-01-02,2716,14,936.01,0.005154639175257732
2021-01-03,2765,14,413.28,0.005063291139240506
2021-01-04,3334,16,678.04,0.004799040191961607
2021-01-05,4430,27,827.3,0.006094808126410835
2021-01-06,5968,28,1435.44,0.004691689008042895
2021-01-07,4623,25,791.15,0.0054077438892494055
2021-01-08,4228,34,1106.4,0.00804162724692526
2021-01-09,3243,18,985.07,0.005550416281221091
2021-01-10,2983,14,658.4499999999999,0.004693261816962789
2021-01-11,3928,27,1249.2,0.006873727087576375
2021-01-13,4494,35,1297.73,0.00778816199376947
2021-01-14,4331,47,2442.99,0.010851997229277302
2021-01-15,3902,38,1494.36,0.009738595592004101
2021-01-16,3154,24,1263.6200000000001,0.007609384908053266
2021-01-17,2967,14,209.57999999999998,0.0047185709470845974
2021-01-18,3577,18,764.28,0.005032149846239866
2021-01-21,4654,49,2920.45,0.010528577567683713
2021-01-22,4059,88,4529.91,0.02168021680216802
2021-01-23,3105,43,2367.2,0.013848631239935587
2021-01-24,2938,35,1595.72,0.011912865895166781
2021-01-25,3877,58,2601.4,0.01496002063451122
2021-01-26,4063,51,838.5,0.012552301255230125
2021-01-28,4146,56,115.47,0.013506994693680656
2021-01-29,3757,51,109.92,0.013574660633484163
2021-01-30,2834,28,56.07,0.009880028228652082
2021-01-31,2780,18,0.0,0.006474820143884892
