event_date,total_sessions,conversions,conversion_rate,total_revenue,cvr_rolling_7d_mean,cvr_deviation,anomaly_score,is_anomaly,anomaly_severity
2020-11-08,2146,31,0.0144454799627213,2495.54,0.010404785173943828,1.0840997914146036,0.584424458034151,1,warning
2020-11-09,3243,42,0.0129509713228492,1660.56,0.01154146144601323,0.4810193732309805,0.48636151482354467,0,normal
2020-11-12,3670,51,0.0138964577656675,2325.9,0.011977662998797472,0.632351724046068,0.4403055819679288,0,normal
2020-11-13,3314,69,0.0208207604103802,2916.93,0.013712165159849101,1.7282761834700209,0.5096813001759835,0,watch
2020-11-14,2340,29,0.0123931623931623,1714.98,0.014506201127386641,-0.7209893355462321,0.46471587749526366,0,normal
2020-11-15,2199,21,0.0095497953615279,1179.24,0.013781139247719829,-1.21804099231276,0.47947951223036955,0,normal
2020-11-16,3508,69,0.0196693272519954,3938.69,0.01481799349547197,1.2023792493852534,0.5318189606203736,0,watch
2020-11-18,4100,50,0.0121951219512195,2698.2,0.014496513779543143,-0.5535917841337403,0.46705285265653107,0,normal
2020-11-19,4165,44,0.0105642256902761,3541.14,0.014155550117746985,-0.8169337443575454,0.4759149532690562,0,normal
2020-11-21,3162,35,0.0110689437065148,3170.88,0.01375161953786803,-0.5894633553370289,0.49273182923262493,0,normal
2020-11-22,2657,29,0.0109145652992096,2401.62,0.0123364488077008,-0.4213435625117901,0.47356318473026904,0,normal
2020-11-23,3923,62,0.0158042314555187,5841.28,0.012823744388037428,0.8230094923110559,0.513945296052121,0,watch
2020-11-24,4317,97,0.0224693073893907,5789.25,0.0146693889634464,1.631351255190016,0.5415451640815394,0,watch
2020-11-26,4109,55,0.0133852518861036,2988.6,0.013771663911176141,-0.09100616543116083,0.44308696907914547,0,normal
2020-11-27,3943,90,0.0228252599543494,4781.37,0.015290255054480414,1.4093339112826837,0.5154027725213787,0,watch
2020-11-28,3356,75,0.0223480333730631,3759.09,0.016973656152021416,0.9835463339759661,0.5325279481273546,0,watch
2020-11-29,3214,49,0.0152457996266334,2562.12,0.0175703498548955,-0.47322030425273,0.4921783623220339,0,normal
2020-12-05,3475,77,0.0221582733812949,3773.12,0.01917659386662197,0.7180175694364486,0.5263806511482328,0,watch
2020-12-12,4103,99,0.0241286863270777,3902.36,0.020365801705416114,0.8922310619595635,0.5908581579450681,1,warning
2020-12-13,3686,63,0.0170916983179598,3050.29,0.01959757183806884,-0.5882430693514455,0.5196480118103208,0,watch
2020-12-19,3573,40,0.0111950741673663,1966.85,0.019284689306820656,-1.673479868155561,0.5573726259616327,0,warning
2020-12-20,3265,19,0.0058192955589586,1061.67,0.01685526582176483,-1.6522823004164877,0.537921095345518,0,watch
2020-12-22,3811,57,0.0149567042770926,2275.05,0.015799361665197614,-0.13513487689036158,0.4599665307298702,0,normal
2020-12-23,3422,53,0.0154880187025131,2813.21,0.015833964390323287,-0.05550437609578984,0.49303928509508677,0,normal
2020-12-24,2777,22,0.0079222182211019,624.88,0.013800242224581427,-0.9562066709296017,0.5224127577389582,0,watch
2020-12-25,2629,17,0.00646633701027,338.81,0.011277049465037473,-1.0364029744697554,0.5180058199665375,0,watch
2020-12-26,2654,16,0.0060286360211002,402.18,0.009696611994057528,-0.8746274845140244,0.48058330524148085,0,normal
2020-12-27,2659,20,0.0075216246709289,716.4000000000001,0.009171833494566472,-0.3924564677683053,0.45721323756534027,0,normal
2020-12-29,3407,22,0.0064572938068682,637.0799999999999,0.0092629761014107,-0.6799643742400364,0.45159057475497955,0,normal
2020-12-30,3190,21,0.0065830721003134,463.7,0.008066742933299386,-0.4443224998430018,0.4492824771831332,0,normal
2020-12-31,2596,22,0.0084745762711864,2233.92,0.007064822585967001,1.549842493942318,0.5598570696198285,0,warning
2021-01-01,2296,12,0.0052264808362369,810.65,0.006679717245272,-1.3887031246421184,0.5211921612764954,0,watch
2021-01-02,2716,14,0.0051546391752577,936.01,0.006492331840270242,-1.1169985099257858,0.4839271152803263,0,normal
2021-01-03,2765,14,0.0050632911392405,413.28,0.0063544254285760006,-0.9854749552690899,0.4782131748895466,0,normal
2021-01-04,3334,16,0.0047990401919616,678.04,0.005965484788723529,-0.8903927511772927,0.5118927164040007,0,watch
2021-01-05,4430,27,0.0060948081264108,827.3,0.005913701120086758,0.1399131596916496,0.5152029290989188,0,watch
2021-01-07,4623,25,0.0054077438892494,791.15,0.005745797089934757,-0.2663709023733522,0.47858591869134187,0,normal
2021-01-08,4228,34,0.0080416272469252,1106.4,0.005683947229326014,2.1141922786784977,0.5233819297665155,0,watch
2021-01-09,3243,18,0.005550416281221,985.07,0.0057302237214666004,-0.16351578577069004,0.5055798171565201,0,watch
2021-01-10,2983,14,0.0046932618169627,658.4499999999999,0.0056643126702816005,-0.8426019054435095,0.4805679663077669,0,normal
2021-01-11,3928,27,0.0068737270875763,1249.2,0.005922946377186713,0.7940665806502573,0.5180744072264208,0,watch
2021-01-12,4685,43,0.0091782283884738,2126.24,0.006548544690974172,1.6523916874760887,0.5168317494933511,0,watch
2021-01-13,4494,35,0.0077881619937694,1297.73,0.006790452386311115,0.6087434749641714,0.44534024954516677,0,normal
2021-01-14,4331,47,0.0108519972292773,2442.99,0.007568202863457957,1.5634960122507318,0.4836971074031017,0,normal
2021-01-16,3154,24,0.0076093849080532,1263.62,0.007506453957904814,0.04924026808905211,0.4777885203303925,0,normal
2021-01-17,2967,14,0.0047185709470845,209.58,0.007387618910171028,-1.1923327234192695,0.5267624323739573,0,watch
2021-01-18,3577,18,0.0050321498462398,764.28,0.007436031485782043,-1.1061285487750452,0.5260001830190693,0,watch
2021-01-19,4157,47,0.0113062304546547,1642.6,0.00806924625250753,1.25065904759994,0.4602966796624411,0,normal
